title,genres,rating
"American President, The (1995)",Comedy|Drama|Romance,"[4.0, 4.0, 2.0, 4.0, 5.0, 5.0, 4.0, 3.0, 4.0, 3.0, 4.5, 4.0, 2.5, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 5.0, 3.0, 5.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 2.5, 4.0, 4.0, 3.5, 4.0, 2.0, 2.5, 4.0, 3.0, 4.0, 5.0, 4.0, 4.0, 4.0, 3.0, 2.5, 3.0, 1.5, 1.0, 3.0, 4.0, 4.0, 4.0, 5.0, 3.5, 3.0, 4.0, 3.0, 5.0, 3.0, 2.5, 3.0, 2.5, 3.0]"
Dracula: Dead and Loving It (1995),Comedy|Horror,"[1.0, 1.0, 3.0, 3.0, 3.0, 1.0, 3.5, 4.0, 2.0, 1.0, 3.0, 3.0, 5.0, 4.0, 2.0, 3.0, 1.0, 1.0, 1.5]"
Balto (1995),Adventure|Animation|Children,"[3.0, 3.0, 4.0, 2.0, 4.0, 3.0, 3.0, 3.0]"
Nixon (1995),Drama,"[4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.0, 5.0, 4.0]"
Cutthroat Island (1995),Action|Adventure|Romance,"[4.0, 2.0, 4.0, 5.0, 4.0, 2.0, 2.0, 1.0, 3.0, 3.0, 4.0, 1.5, 3.5]"
Casino (1995),Crime|Drama,"[4.0, 4.5, 2.5, 5.0, 4.0, 5.0, 3.5, 4.5, 4.5, 4.5, 5.0, 4.5, 4.0, 4.5, 4.5, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.5, 4.5, 3.0, 3.5, 4.0, 5.0, 4.5, 4.0, 2.0, 4.5, 4.0, 2.5, 4.5, 4.5, 1.0, 2.5, 4.0, 5.0, 3.5, 3.5, 4.0, 4.5, 3.5, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 5.0, 4.0, 3.0, 5.0, 3.0, 3.5, 4.5, 4.0, 4.0, 2.0, 4.0, 3.0, 1.0, 3.5, 5.0, 4.5, 5.0, 4.0, 3.0, 3.0, 4.0, 4.5, 4.5]"
Sense and Sensibility (1995),Drama|Romance,"[4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 3.5, 1.0, 5.0, 5.0, 1.0, 4.5, 0.5, 3.0, 3.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 3.0, 5.0, 3.0, 3.5, 5.0, 3.0, 5.0, 1.0, 4.0, 5.0, 3.5, 4.0, 5.0, 3.0, 4.0, 3.5, 4.0, 4.0, 2.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 3.5, 5.0, 5.0, 5.0, 5.0, 4.5, 3.0, 3.0, 0.5, 5.0, 5.0, 5.0, 3.5, 4.0, 3.0, 3.5, 3.5, 3.0, 4.0, 4.0]"
Four Rooms (1995),Comedy,"[4.0, 4.0, 2.0, 3.5, 5.0, 3.0, 4.0, 5.0, 5.0, 3.5, 3.0, 3.0, 4.0, 3.0, 4.0, 2.0, 5.0, 4.0, 3.0, 4.0]"
Ace Ventura: When Nature Calls (1995),Comedy,"[2.0, 1.0, 2.0, 2.5, 2.0, 2.0, 4.5, 5.0, 1.0, 3.5, 3.0, 1.5, 2.0, 2.0, 1.0, 3.5, 4.0, 2.0, 2.0, 3.5, 3.0, 1.0, 2.0, 3.0, 3.0, 2.0, 3.0, 3.5, 1.0, 2.5, 3.5, 3.5, 3.0, 5.0, 3.5, 4.0, 4.0, 3.0, 4.0, 1.5, 2.0, 4.0, 1.0, 3.5, 3.0, 2.5, 2.0, 4.0, 4.0, 2.0, 4.0, 1.0, 2.0, 2.0, 2.0, 5.0, 2.5, 3.5, 1.0, 2.0, 3.0, 2.0, 3.0, 4.0, 3.0, 1.5, 3.5, 2.0, 4.5, 4.0, 4.0, 1.0, 3.0, 4.0, 2.0, 3.5, 3.0, 2.0, 3.0, 3.0, 2.0, 4.0, 3.0, 3.0, 2.0, 1.0, 2.0, 2.0]"
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"[3.0, 2.0, 2.0, 3.5, 3.5, 3.5, 1.0, 3.5, 2.0, 3.0, 4.0, 1.0, 2.0, 2.0, 1.5]"
Get Shorty (1995),Comedy|Crime|Thriller,"[3.0, 4.0, 2.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 2.0, 4.0, 4.0, 3.0, 4.0, 5.0, 2.0, 2.5, 4.0, 4.0, 3.0, 3.5, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 5.0, 5.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 2.5, 1.0, 3.0, 3.0, 3.5, 3.0, 3.0, 1.0, 2.0, 2.0, 5.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.5, 4.0, 3.0, 2.0, 3.0, 5.0, 4.0, 3.0, 4.0, 2.5, 4.0, 2.5, 3.0, 3.0, 4.0, 3.0, 4.0, 5.0, 4.0, 3.0, 3.0, 5.0, 4.0, 4.0, 5.0, 3.5]"
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"[5.0, 5.0, 3.0, 3.5, 3.5, 4.0, 3.0, 3.0, 1.0, 3.0, 3.0, 2.0, 3.5, 2.0, 2.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.5, 4.0, 3.0, 3.5, 3.5, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0]"
Assassins (1995),Action|Crime|Thriller,"[1.5, 5.0, 4.0, 3.0, 5.0, 3.0, 3.5, 3.5, 3.5, 3.0, 2.0, 3.0, 3.0, 2.0, 1.0, 4.0]"
Powder (1995),Drama|Sci-Fi,"[4.0, 3.0, 2.0, 2.5, 3.0, 4.0, 4.0, 5.0, 3.0, 1.0, 3.5, 3.0, 2.0, 4.0, 5.0, 3.0, 3.0, 3.0, 4.0, 3.0, 2.5, 2.5, 5.0, 2.0, 4.0, 2.5, 2.0, 2.0]"
Leaving Las Vegas (1995),Drama|Romance,"[3.0, 4.0, 2.0, 4.0, 3.0, 2.5, 3.5, 3.5, 5.0, 5.0, 2.0, 5.0, 4.0, 5.0, 2.5, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 5.0, 4.5, 1.0, 4.5, 3.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 5.0, 3.0, 1.0, 5.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 1.0, 4.5, 4.0, 4.0, 4.0, 5.0, 3.0, 2.0, 4.0, 5.0, 3.0, 4.0, 3.0, 4.5, 4.0, 3.0, 5.0, 3.0, 4.0, 3.5, 2.0, 5.0, 3.0, 3.0, 2.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 3.0]"
Othello (1995),Drama,"[4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 4.0, 3.0, 3.5, 4.0, 2.5, 2.5]"
Now and Then (1995),Children|Drama,"[3.0, 4.5, 2.5, 5.0, 2.0, 5.0, 2.0, 3.0, 3.0]"
Persuasion (1995),Drama|Romance,"[5.0, 4.5, 2.5, 4.5, 5.0, 4.5, 3.5, 4.5, 5.0, 4.0, 3.5]"
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"[4.0, 5.0, 4.5, 4.0, 5.0, 2.0, 5.0, 4.0, 4.0, 4.0, 4.5, 5.0, 4.5, 4.0, 4.0, 5.0, 4.0, 4.5, 5.0, 4.0, 3.5, 3.5, 4.0, 3.0, 3.5, 5.0, 4.5, 4.0, 3.5, 5.0, 3.0, 4.0, 3.5, 3.5, 4.5, 2.0, 2.0, 4.5]"
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"[4.0, 1.0, 4.0]"
Dangerous Minds (1995),Drama,"[0.5, 3.0, 2.5, 4.0, 3.0, 4.0, 3.5, 3.0, 4.0, 3.0, 3.0, 3.0, 3.5, 4.0, 3.0, 3.5, 4.0, 4.5, 1.5, 3.0, 5.0, 4.0, 2.0, 2.5, 4.0, 3.0, 5.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 1.0, 3.5, 2.5, 2.0, 3.0]"
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"[2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.5, 3.5, 3.5, 4.0, 3.0, 3.0, 4.5, 4.0, 3.0, 3.0, 4.0, 5.0, 4.5, 3.0, 4.0, 5.0, 4.5, 3.5, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 3.5, 4.0, 5.0, 5.0, 3.0, 3.0, 5.0, 3.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 3.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 3.0, 3.5, 4.5, 5.0, 3.0, 4.0, 4.5, 4.0, 5.0, 5.0, 5.0, 3.0, 5.0, 4.5, 5.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 2.0, 4.0, 3.0, 3.5, 4.0, 5.0, 3.5, 4.0, 4.0, 3.0, 4.0, 4.5, 2.5, 4.0, 5.0, 2.5, 4.0, 3.0, 3.5, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0, 4.0, 5.0, 5.0, 4.5, 5.0, 3.5, 4.0, 3.0, 3.5, 4.0, 4.0, 5.0, 4.5, 5.0, 3.5, 3.5, 4.0, 3.5, 4.0, 4.0, 5.0, 4.0, 2.0, 4.0, 5.0, 5.0, 3.0, 3.5, 3.5, 4.0, 5.0, 3.0, 4.0, 4.0, 4.5, 4.0, 5.0, 5.0, 3.5, 3.0, 3.0, 4.0, 5.0, 4.0, 3.5, 3.0, 3.0, 5.0, 3.0, 5.0, 4.0, 3.0, 3.5, 3.5, 5.0, 4.0, 4.0, 5.0, 5.0, 3.0, 3.5, 3.0, 4.5, 3.0, 3.0, 4.0, 4.0, 3.5, 4.5]"
Babe (1995),Children|Drama,"[4.0, 4.0, 5.0, 2.5, 4.0, 4.0, 3.0, 5.0, 3.0, 5.0, 5.0, 3.0, 4.5, 1.0, 2.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 3.0, 2.5, 2.0, 3.0, 3.0, 1.5, 2.0, 4.0, 4.0, 3.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 2.0, 4.0, 4.0, 2.5, 5.0, 5.0, 4.0, 4.5, 1.0, 5.0, 2.0, 3.0, 4.0, 5.0, 1.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 3.5, 3.0, 2.5, 5.0, 3.0, 2.0, 4.0, 5.0, 5.0, 3.5, 4.0, 2.5, 3.0, 4.0, 4.0, 4.0, 5.0, 4.0, 3.5, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 3.5, 3.0, 3.5, 5.0, 5.0, 4.0, 4.0, 2.0, 4.0, 4.5, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 5.0, 3.5, 4.0, 5.0, 3.0, 5.0, 4.0, 5.0, 2.5, 2.5, 2.0, 4.0, 2.5, 3.5, 3.0, 2.5, 3.0, 4.0, 4.0, 4.0, 2.0, 1.0, 4.0, 4.0, 3.0, 3.5]"
Dead Man Walking (1995),Crime|Drama,"[4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 3.0, 4.0, 4.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 0.5, 3.0, 4.0, 4.0, 5.0, 4.0, 4.5, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.5, 4.0, 1.0, 1.0, 3.5, 4.0, 3.5, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.5, 4.0, 3.5, 3.0, 4.0, 5.0, 4.5, 4.0, 3.0, 4.0, 4.0, 2.0, 5.0, 3.5, 3.0, 4.0, 3.5, 4.0]"
It Takes Two (1995),Children|Comedy,"[2.5, 2.0, 3.0, 1.0]"
Clueless (1995),Comedy|Romance,"[3.0, 3.0, 4.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 5.0, 4.0, 4.0, 1.5, 1.0, 4.0, 3.0, 4.0, 3.0, 4.0, 0.5, 3.0, 3.0, 4.0, 3.0, 3.5, 1.0, 2.0, 3.5, 4.0, 3.0, 4.0, 3.0, 1.0, 5.0, 3.0, 5.0, 3.0, 3.0, 3.0, 3.0, 5.0, 3.0, 4.0, 2.0, 4.0, 4.0, 1.0, 3.0, 3.5, 2.0, 2.0, 3.0, 4.0, 3.0, 2.0, 4.0, 1.0, 4.5, 4.0, 3.5, 3.0, 3.0, 2.5, 4.0, 4.0, 3.0, 3.0, 4.0, 5.0, 2.0, 3.0, 3.5, 2.5, 4.5, 3.0, 3.5, 1.0, 5.0, 3.0, 4.0, 4.0, 4.5, 4.0, 3.0, 3.0, 3.5, 4.0, 3.0, 3.0, 5.0, 1.0, 4.0, 4.5, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 3.0, 3.0]"
"Cry, the Beloved Country (1995)",Drama,"[3.5, 5.0]"
Richard III (1995),Drama|War,"[4.0, 3.0, 5.0, 4.0, 4.0, 4.5, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.5, 4.0, 2.5]"
Dead Presidents (1995),Action|Crime|Drama,"[4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 3.0]"
Restoration (1995),Drama,"[4.0, 2.0, 3.0, 3.0, 3.0, 3.5, 4.0, 3.0]"
Mortal Kombat (1995),Action|Adventure|Fantasy,"[2.0, 1.0, 3.5, 3.0, 1.0, 3.0, 2.0, 3.0, 1.0, 2.0, 3.0, 1.0, 2.0, 3.0, 1.5, 2.0, 2.0, 1.5, 3.5, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.5, 1.0, 4.0, 2.0, 1.0, 2.0, 3.5, 2.0, 2.0, 3.0, 5.0, 4.0, 1.0, 4.0, 2.5, 4.0, 2.5, 2.0, 3.0, 2.5, 0.5]"
To Die For (1995),Comedy|Drama|Thriller,"[3.0, 3.0, 3.5, 4.0, 3.0, 2.5, 4.0, 3.0, 3.0, 2.0, 3.0, 4.0, 2.0, 2.0, 4.5, 3.0, 3.0, 2.5, 3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.5, 5.0, 5.0, 2.5, 5.0, 4.0]"
How to Make an American Quilt (1995),Drama|Romance,"[4.0, 4.0, 3.0, 3.0, 1.0, 3.0, 1.0, 5.0, 2.0, 2.0, 3.0, 3.5, 4.5, 3.0, 4.0]"
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"[5.0, 2.0, 4.0, 4.0, 5.0, 5.0, 3.5, 3.5, 4.0, 4.5, 3.0, 4.0, 3.0, 3.0, 3.5, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 4.5, 4.0, 4.5, 5.0, 4.0, 4.5, 2.0, 3.5, 3.0, 3.5, 4.5, 2.0, 5.0, 0.5, 5.0, 3.0, 4.5, 5.0, 3.5, 4.0, 3.0, 4.5, 4.5, 5.0, 3.5, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 4.0, 3.0, 4.0, 4.5, 5.0, 3.5, 5.0, 4.0, 5.0, 5.0, 4.5, 4.5, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 5.0, 3.0, 4.0, 5.0, 2.0, 3.5, 3.0, 4.0, 3.0, 5.0, 5.0, 3.0, 4.5, 3.5, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.5, 4.5, 4.0, 3.0, 4.0, 3.0, 5.0, 3.5, 2.0, 4.0, 4.0, 4.5, 5.0, 4.0, 4.0, 5.0, 1.0, 5.0, 4.0, 4.0, 4.0, 4.5, 3.0, 4.0, 2.0, 4.5, 5.0, 4.5, 3.5, 3.0, 4.5, 5.0, 5.0, 4.0, 4.5, 4.0, 3.5, 3.5, 5.0, 5.0, 3.0, 5.0, 2.0, 3.0, 4.5, 3.0, 5.0, 3.0, 5.0, 3.0, 4.0, 3.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.5, 0.5, 4.0, 3.0, 4.0, 4.0, 4.5, 4.0, 4.5, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 3.0, 4.0, 4.0, 4.5, 3.5, 4.0, 3.0, 3.0, 3.0, 5.0, 3.0, 5.0, 4.0, 2.0, 5.0, 3.5, 4.0, 4.5, 1.0, 5.0, 4.5, 4.0, 4.5, 4.0, 3.5, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 3.0, 4.5, 5.0]"
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"[1.0, 5.0, 3.0, 4.0, 3.0, 2.0, 5.0, 4.0, 3.0, 3.0, 3.0, 4.0, 0.5, 3.5, 3.5, 3.0, 3.0, 3.0, 4.5, 4.0, 3.5, 4.0, 3.0, 2.0, 2.0, 3.0, 2.5, 5.0, 3.0, 3.0, 4.0, 3.0, 1.0, 3.0, 2.0, 1.0, 2.0, 4.0, 1.5, 3.5, 3.5, 4.5, 2.0, 3.0, 3.0, 2.0, 2.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 4.5, 4.0, 3.5, 3.0, 3.0, 4.0, 3.0, 2.5, 3.5, 4.0, 5.0, 4.5, 0.5]"
When Night Is Falling (1995),Drama|Romance,[3.0]
