userId,title,tag
119,Star Wars: Episode IV - A New Hope (1977),classic
119,Star Wars: Episode IV - A New Hope (1977),Nerd
193,Star Wars: Episode IV - A New Hope (1977),classic sci-fi
193,Star Wars: Episode IV - A New Hope (1977),space action
193,Star Wars: Episode IV - A New Hope (1977),space epic
205,Star Wars: Episode IV - A New Hope (1977),oldie but goodie
205,Star Wars: Episode IV - A New Hope (1977),sci-fi
205,Star Wars: Episode IV - A New Hope (1977),Star Wars
341,Star Wars: Episode IV - A New Hope (1977),ROBOTS AND ANDROIDS
341,Star Wars: Episode IV - A New Hope (1977),space
424,Star Wars: Episode IV - A New Hope (1977),classic sci-fi
424,Star Wars: Episode IV - A New Hope (1977),sci-fi
424,Star Wars: Episode IV - A New Hope (1977),space adventure
424,Star Wars: Episode IV - A New Hope (1977),Star Wars
474,Star Wars: Episode IV - A New Hope (1977),darth vader
474,Star Wars: Episode IV - A New Hope (1977),luke skywalker
474,Star Wars: Episode IV - A New Hope (1977),space opera
474,Little Women (1994),Louisa May Alcott
474,"Little Princess, A (1995)",England
474,"Little Princess, A (1995)",Girl Power
474,"Little Princess, A (1995)",India
474,"Madness of King George, The (1994)",England
474,"Madness of King George, The (1994)",mental illness
600,Mary Shelley's Frankenstein (Frankenstein) (1994),gothic
474,Miracle on 34th Street (1994),Christmas
474,My Family (1995),In Netflix queue
474,Murder in the First (1995),prison
474,Nell (1994),disability
474,Nell (1994),twins
424,Natural Born Killers (1994),brutality
424,Natural Born Killers (1994),controversial
424,Natural Born Killers (1994),dark comedy
424,Natural Born Killers (1994),psychedelic
424,Natural Born Killers (1994),satire
424,Natural Born Killers (1994),stylized
474,Once Were Warriors (1994),In Netflix queue
166,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),assassin
166,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Jean Reno
474,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),hit men
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),assassin
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),assassination
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),assassins
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),awkward romance
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),corruption
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),crime
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),disturbing
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),drama
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),French
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),friendship
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Gary Oldman
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),great acting
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Guns
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),hit men
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),hitman
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),humorous
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),imdb top 250
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Jean Reno
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Lolita theme
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),loneliness
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),love story
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Luc Besson
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Natalie Portman
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),organized crime
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),police
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),police corruption
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),quirky
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),sniper
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),tense
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),touching
599,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),unique
103,Pulp Fiction (1994),good dialogue
103,Pulp Fiction (1994),great soundtrack
103,Pulp Fiction (1994),non-linear
424,Pulp Fiction (1994),cult film
424,Pulp Fiction (1994),drugs
424,Pulp Fiction (1994),Quentin Tarantino
424,Pulp Fiction (1994),Tarantino
474,Pulp Fiction (1994),hit men
599,Pulp Fiction (1994),1990s
599,Pulp Fiction (1994),achronological
599,Pulp Fiction (1994),action
599,Pulp Fiction (1994),action packed
599,Pulp Fiction (1994),aggressive
599,Pulp Fiction (1994),amazing
599,Pulp Fiction (1994),amazing dialogues
599,Pulp Fiction (1994),anthology
599,Pulp Fiction (1994),assassin
599,Pulp Fiction (1994),atmospheric
599,Pulp Fiction (1994),AWESOME
599,Pulp Fiction (1994),bad ass
599,Pulp Fiction (1994),bad language
599,Pulp Fiction (1994),bad-ass
599,Pulp Fiction (1994),bible
599,Pulp Fiction (1994),biblical references
599,Pulp Fiction (1994),big boys with guns
599,Pulp Fiction (1994),big name actors
599,Pulp Fiction (1994),Black comedy
599,Pulp Fiction (1994),black humor
599,Pulp Fiction (1994),black humour
599,Pulp Fiction (1994),blood
599,Pulp Fiction (1994),blood splatters
599,Pulp Fiction (1994),bloody
599,Pulp Fiction (1994),bruce willis
599,Pulp Fiction (1994),brutality
599,Pulp Fiction (1994),casual violence
599,Pulp Fiction (1994),character development
599,Pulp Fiction (1994),characters
599,Pulp Fiction (1994),classic
599,Pulp Fiction (1994),classic movie
599,Pulp Fiction (1994),coke
599,Pulp Fiction (1994),comedy
599,Pulp Fiction (1994),conversation
599,Pulp Fiction (1994),cool
599,Pulp Fiction (1994),cool style
599,Pulp Fiction (1994),crime
599,Pulp Fiction (1994),crime scene scrubbing
599,Pulp Fiction (1994),cult
599,Pulp Fiction (1994),cult classic
599,Pulp Fiction (1994),cult film
599,Pulp Fiction (1994),dance
599,Pulp Fiction (1994),dancing
599,Pulp Fiction (1994),dark
599,Pulp Fiction (1994),dark comedy
599,Pulp Fiction (1994),dark humor
599,Pulp Fiction (1994),dialogue
599,Pulp Fiction (1994),different
599,Pulp Fiction (1994),diner
599,Pulp Fiction (1994),disjointed timeline
599,Pulp Fiction (1994),disturbing
599,Pulp Fiction (1994),drama
599,Pulp Fiction (1994),drug overdose
599,Pulp Fiction (1994),drugs
599,Pulp Fiction (1994),drugs & music
599,Pulp Fiction (1994),ensemble cast
599,Pulp Fiction (1994),entertaining
599,Pulp Fiction (1994),entirely dialogue
599,Pulp Fiction (1994),episodic
599,Pulp Fiction (1994),exciting
599,Pulp Fiction (1994),fast paced
599,Pulp Fiction (1994),fast-paced
599,Pulp Fiction (1994),film noir
599,Pulp Fiction (1994),film-noir
599,Pulp Fiction (1994),foul language
599,Pulp Fiction (1994),fun
599,Pulp Fiction (1994),funny
599,Pulp Fiction (1994),gangster
599,Pulp Fiction (1994),gangsters
599,Pulp Fiction (1994),genius
599,Pulp Fiction (1994),golden watch
599,Pulp Fiction (1994),good dialogue
599,Pulp Fiction (1994),good music
599,Pulp Fiction (1994),gore
599,Pulp Fiction (1994),great acting
599,Pulp Fiction (1994),great dialogue
599,Pulp Fiction (1994),great soundtrack
599,Pulp Fiction (1994),gritty
599,Pulp Fiction (1994),guns
599,Pulp Fiction (1994),Harvey Keitel
599,Pulp Fiction (1994),heroin
599,Pulp Fiction (1994),Highly quotable
599,Pulp Fiction (1994),hit men
599,Pulp Fiction (1994),hitman
599,Pulp Fiction (1994),homosexuality
599,Pulp Fiction (1994),humour
599,Pulp Fiction (1994),iconic
599,Pulp Fiction (1994),imdb top 250
599,Pulp Fiction (1994),innovative
599,Pulp Fiction (1994),intellectual
599,Pulp Fiction (1994),intelligent
599,Pulp Fiction (1994),intense
599,Pulp Fiction (1994),interesting
599,Pulp Fiction (1994),intertwining storylines
599,Pulp Fiction (1994),interwoven storylines
599,Pulp Fiction (1994),ironic
599,Pulp Fiction (1994),irony
599,Pulp Fiction (1994),John Travolta
599,Pulp Fiction (1994),killer-as-protagonist
599,Pulp Fiction (1994),los angeles
599,Pulp Fiction (1994),Mafia
599,Pulp Fiction (1994),masterpiece
599,Pulp Fiction (1994),meaningless violence
599,Pulp Fiction (1994),milkshake
599,Pulp Fiction (1994),mobster
599,Pulp Fiction (1994),mobsters
599,Pulp Fiction (1994),monologue
599,Pulp Fiction (1994),motherfucker
599,Pulp Fiction (1994),multiple stories
599,Pulp Fiction (1994),multiple storylines
599,Pulp Fiction (1994),neo-noir
599,Pulp Fiction (1994),noir
599,Pulp Fiction (1994),non-linear
599,Pulp Fiction (1994),non-linear timeline
599,Pulp Fiction (1994),nonlinear
599,Pulp Fiction (1994),nonlinear narrative
599,Pulp Fiction (1994),nonlinear storyline
599,Pulp Fiction (1994),nonlinear timeline
599,Pulp Fiction (1994),notable soundtrack
599,Pulp Fiction (1994),offensive
599,Pulp Fiction (1994),organised crime
599,Pulp Fiction (1994),organized crime
599,Pulp Fiction (1994),original
599,Pulp Fiction (1994),original plot
599,Pulp Fiction (1994),out of order
599,Pulp Fiction (1994),Palme d'Or
599,Pulp Fiction (1994),parody
599,Pulp Fiction (1994),philosophical
599,Pulp Fiction (1994),pop culture references
599,Pulp Fiction (1994),psychological
599,Pulp Fiction (1994),pulp
599,Pulp Fiction (1994),Quentin Tarantino
599,Pulp Fiction (1994),quirky
599,Pulp Fiction (1994),Quotable
599,Pulp Fiction (1994),r:disturbing violent content including rape
599,Pulp Fiction (1994),r:disturbing violent images
599,Pulp Fiction (1994),r:graphic sexuality
599,Pulp Fiction (1994),r:some violence
599,Pulp Fiction (1994),r:strong bloody violence
599,Pulp Fiction (1994),r:strong language
599,Pulp Fiction (1994),r:sustained strong stylized violence
599,Pulp Fiction (1994),r:violence
599,Pulp Fiction (1994),random
599,Pulp Fiction (1994),rape
599,Pulp Fiction (1994),retro
599,Pulp Fiction (1994),Roger Avary
599,Pulp Fiction (1994),royal with cheese
599,Pulp Fiction (1994),Samuel L. Jackson
599,Pulp Fiction (1994),sarcasm
599,Pulp Fiction (1994),satire
599,Pulp Fiction (1994),sexy
599,Pulp Fiction (1994),smart writing
599,Pulp Fiction (1994),sophisticated
599,Pulp Fiction (1994),soundtrack
599,Pulp Fiction (1994),splatter
599,Pulp Fiction (1994),Steve Buscemi
599,Pulp Fiction (1994),storytelling
599,Pulp Fiction (1994),stylish
599,Pulp Fiction (1994),stylized
599,Pulp Fiction (1994),suspense
599,Pulp Fiction (1994),Tarantino
599,Pulp Fiction (1994),thought-provoking
599,Pulp Fiction (1994),thriller
599,Pulp Fiction (1994),travolta
599,Pulp Fiction (1994),twist ending
599,Pulp Fiction (1994),Uma Thurman
599,Pulp Fiction (1994),unique
599,Pulp Fiction (1994),unpredictable
599,Pulp Fiction (1994),unusual
599,Pulp Fiction (1994),very funny
599,Pulp Fiction (1994),violence
599,Pulp Fiction (1994),violent
599,Pulp Fiction (1994),witty
474,Quiz Show (1994),TV
474,Three Colors: Blue (Trois couleurs: Bleu) (1993),Death
474,Three Colors: White (Trzy kolory: Bialy) (1994),marriage
567,Three Colors: White (Trzy kolory: Bialy) (1994),cynical
474,Stargate (1994),time travel
474,"Santa Clause, The (1994)",Christmas
474,"Shawshank Redemption, The (1994)",prison
474,"Shawshank Redemption, The (1994)",Stephen King
474,"Shawshank Redemption, The (1994)",wrongful imprisonment
477,"Shawshank Redemption, The (1994)",Morgan Freeman
474,To Live (Huozhe) (1994),In Netflix queue
474,Star Trek: Generations (1994),Enterprise
474,What's Eating Gilbert Grape (1993),mental illness
474,Virtuosity (1995),serial killer
474,While You Were Sleeping (1995),coma
474,Muriel's Wedding (1994),Australia
474,Muriel's Wedding (1994),weddings
474,"Adventures of Priscilla, Queen of the Desert, The (1994)",cross dressing
474,"Adventures of Priscilla, Queen of the Desert, The (1994)",men in drag
474,"Adventures of Priscilla, Queen of the Desert, The (1994)",remade
474,Clear and Present Danger (1994),Tom Clancy
474,"Client, The (1994)",John Grisham
474,"Corrina, Corrina (1994)",interracial romance
474,Forrest Gump (1994),shrimp
474,Forrest Gump (1994),Vietnam
533,Forrest Gump (1994),bubba gump shrimp
533,Forrest Gump (1994),lieutenant dan
533,Forrest Gump (1994),stupid is as stupid does
567,Forrest Gump (1994),bittersweet
567,Forrest Gump (1994),emotional
567,Forrest Gump (1994),heartwarming
567,Forrest Gump (1994),touching
474,Four Weddings and a Funeral (1994),wedding
474,It Could Happen to You (1994),gambling
474,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Holocaust
474,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",In Netflix queue
319,"Lion King, The (1994)",Disney
319,"Lion King, The (1994)",Disney animated feature
319,"Lion King, The (1994)",Oscar (Best Music - Original Score)
424,"Lion King, The (1994)",soundtrack
474,"Lion King, The (1994)",Disney
474,"Paper, The (1994)",journalism
474,Speed (1994),bus
474,True Lies (1994),spies
474,When a Man Loves a Woman (1994),alcoholism
62,Addams Family Values (1993),black comedy
62,Addams Family Values (1993),Christina Ricci
62,Addams Family Values (1993),Christopher Lloyd
62,Addams Family Values (1993),dark comedy
62,Addams Family Values (1993),family
62,Addams Family Values (1993),gothic
474,"Age of Innocence, The (1993)",Edith Wharton
573,Airheads (1994),Comedy
474,Black Beauty (1994),horses
474,Blue Sky (1994),mental illness
474,Blue Sky (1994),Oscar (Best Actress)
18,Carlito's Way (1993),Al Pacino
18,Carlito's Way (1993),gangster
18,Carlito's Way (1993),mafia
474,Dave (1993),President
474,"Firm, The (1993)",John Grisham
474,"Fugitive, The (1993)",based on a TV show
474,"Hudsucker Proxy, The (1994)",hula hoop
474,In the Line of Fire (1993),assassination
474,In the Name of the Father (1993),Ireland
474,What's Love Got to Do with It? (1993),biopic
474,Jurassic Park (1993),Dinosaur
474,M. Butterfly (1993),Japan
474,M. Butterfly (1993),sexuality
474,Much Ado About Nothing (1993),Shakespeare
474,Mrs. Doubtfire (1993),cross dressing
474,Mrs. Doubtfire (1993),divorce
474,Mrs. Doubtfire (1993),men in drag
474,Philadelphia (1993),AIDs
474,Radioland Murders (1994),radio
474,Radioland Murders (1994),show business
474,"Remains of the Day, The (1993)",Butler
474,"Remains of the Day, The (1993)",Housekeeper
474,Renaissance Man (1994),military
474,Romper Stomper (1992),Australia
474,Romper Stomper (1992),racism
474,Romper Stomper (1992),violence
474,Rudy (1993),football
289,Schindler's List (1993),moving
424,Schindler's List (1993),thought-provoking
474,Schindler's List (1993),Holocaust
537,Schindler's List (1993),based on a true story
537,Schindler's List (1993),biography
537,Schindler's List (1993),disturbing
537,Schindler's List (1993),holocaust
474,Searching for Bobby Fischer (1993),chess
474,"Secret Garden, The (1993)",In Netflix queue
474,Shadowlands (1993),C.S. Lewis
474,Short Cuts (1993),large cast
474,Six Degrees of Separation (1993),race
474,Sleepless in Seattle (1993),Empire State Building
573,Sliver (1993),bad
424,Blade Runner (1982),sci-fi
474,Blade Runner (1982),robots
477,Blade Runner (1982),androids
477,Blade Runner (1982),artificial intelligence
477,Blade Runner (1982),atmospheric
477,Blade Runner (1982),cyberpunk
477,Blade Runner (1982),future
477,Blade Runner (1982),mindfuck
477,Blade Runner (1982),Philip K. Dick
567,Blade Runner (1982),atmospheric
567,Blade Runner (1982),dreamlike
567,Blade Runner (1982),existentialism
567,Blade Runner (1982),philosophical
474,So I Married an Axe Murderer (1993),beat poetry
474,"Nightmare Before Christmas, The (1993)",Christmas
474,"Nightmare Before Christmas, The (1993)",Halloween
336,"Three Musketeers, The (1993)",knights
474,"War Room, The (1993)",politics
474,Welcome to the Dollhouse (1995),adolescence
474,Home Alone (1990),christmas
474,Ghost (1990),overrated
474,Aladdin (1992),Disney
424,Terminator 2: Judgment Day (1991),apocalypse
424,Terminator 2: Judgment Day (1991),Arnold Schwarzenegger
424,Terminator 2: Judgment Day (1991),nuclear war
424,Terminator 2: Judgment Day (1991),sci-fi
424,Terminator 2: Judgment Day (1991),Suspense
424,Terminator 2: Judgment Day (1991),time travel
474,Terminator 2: Judgment Day (1991),robots
477,Terminator 2: Judgment Day (1991),Scifi masterpiece
474,Dances with Wolves (1990),American Indians
474,Dances with Wolves (1990),Native Americans
474,Batman (1989),superhero
474,"Silence of the Lambs, The (1991)",Hannibal Lector
477,"Silence of the Lambs, The (1991)",disturbing
477,"Silence of the Lambs, The (1991)",drama
477,"Silence of the Lambs, The (1991)",gothic
477,"Silence of the Lambs, The (1991)",psychology
477,"Silence of the Lambs, The (1991)",suspense
474,Snow White and the Seven Dwarfs (1937),Disney
474,Beauty and the Beast (1991),Disney
474,Pinocchio (1940),Disney
474,Pretty Woman (1990),prostitution
424,Fargo (1996),based on a true story
424,Fargo (1996),dark comedy
424,Fargo (1996),KIDNAPPING
424,Fargo (1996),Steve Buscemi
474,Fargo (1996),Coen Brothers
474,"Aristocats, The (1970)",Disney
424,Primal Fear (1996),edward norton
424,Primal Fear (1996),psychology
424,Primal Fear (1996),suspense
424,Primal Fear (1996),thought-provoking
424,Primal Fear (1996),twist ending
474,Primal Fear (1996),priest
474,Jack and Sarah (1995),babies
474,Courage Under Fire (1996),Gulf War
474,Mission: Impossible (1996),based on a TV show
474,Song of the Little Road (Pather Panchali) (1955),India
474,"World of Apu, The (Apur Sansar) (1959)",India
474,Mystery Science Theater 3000: The Movie (1996),spoof
474,Space Jam (1996),Bugs Bunny
573,Mulholland Falls (1996),bad
474,"Truth About Cats & Dogs, The (1996)",Veterinarian
474,Wallace & Gromit: The Best of Aardman Animation (1996),Aardman
474,Cold Comfort Farm (1995),In Netflix queue
474,"Rock, The (1996)",Alcatraz
477,"Rock, The (1996)",Michael Bay
477,"Rock, The (1996)",terrorism
474,Twister (1996),Disaster
474,Wallace & Gromit: A Close Shave (1995),Aardman
474,"Arrival, The (1996)",aliens
435,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),dark comedy
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Atomic bomb
477,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),black comedy
477,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),dark comedy
477,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),satire
513,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),purity of essence
513,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Slim Pickens
567,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),black comedy
567,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),dark comedy
567,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Quirky
318,Trainspotting (1996),based on a book
318,Trainspotting (1996),dark comedy
318,Trainspotting (1996),narrated
474,Trainspotting (1996),drug abuse
474,Independence Day (a.k.a. ID4) (1996),aliens
474,Lone Star (1996),In Netflix queue
474,"Time to Kill, A (1996)",John Grisham
474,"Very Brady Sequel, A (1996)",based on a TV show
474,"First Wives Club, The (1996)",adultery
474,Ransom (1996),kidnapping
477,Ransom (1996),GIVE ME BACK MY SON!
477,Ransom (1996),It was melodramatic and kind of dumb
477,Ransom (1996),Mel Gibson
573,Chain Reaction (1996),seen at the cinema
474,Emma (1996),Jane Austen
474,Tin Cup (1996),golf
474,"Godfather, The (1972)",Mafia
474,Twelfth Night (1996),Shakespeare
474,"Philadelphia Story, The (1940)",divorce
474,Singin' in the Rain (1952),movie business
474,"American in Paris, An (1951)",France
474,Breakfast at Tiffany's (1961),Capote
474,Vertigo (1958),falling
477,Vertigo (1958),Alfred Hitchcock
477,Vertigo (1958),Atmospheric
477,Vertigo (1958),imdb top 250
477,Vertigo (1958),James Stewart
474,Rear Window (1954),voyeurism
477,Rear Window (1954),imdb top 250
477,Rear Window (1954),James Stewart
477,Rear Window (1954),mystery
477,Rear Window (1954),photographer
477,Rear Window (1954),photography
474,It Happened One Night (1934),Screwball
474,Gaslight (1944),Brooch
474,"Gay Divorcee, The (1934)",divorce
474,North by Northwest (1959),Mount Rushmore
477,North by Northwest (1959),Alfred Hitchcock
477,North by Northwest (1959),imdb top 250
474,"Apartment, The (1960)",adultery
474,Some Like It Hot (1959),men in drag
474,Charade (1963),heist
474,Casablanca (1942),start of a beautiful friendship
474,"Maltese Falcon, The (1941)",statue
474,My Fair Lady (1964),George Bernard Shaw
474,Sabrina (1954),rich guy - poor girl
474,Roman Holiday (1953),Italy
474,Roman Holiday (1953),royalty
474,Meet Me in St. Louis (1944),1900s
474,"Wizard of Oz, The (1939)",Dorothy
474,"Wizard of Oz, The (1939)",Toto
474,Gone with the Wind (1939),Civil War
474,My Favorite Year (1982),television
474,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),movies
477,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),eerie
477,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),movie business
474,Citizen Kane (1941),Rosebud
474,2001: A Space Odyssey (1968),Hal
474,2001: A Space Odyssey (1968),space
599,2001: A Space Odyssey (1968),aliens
599,2001: A Space Odyssey (1968),apes
599,2001: A Space Odyssey (1968),Arthur C. Clarke
599,2001: A Space Odyssey (1968),artificial intelligence
599,2001: A Space Odyssey (1968),atmospheric
599,2001: A Space Odyssey (1968),cinematography
599,2001: A Space Odyssey (1968),classic
599,2001: A Space Odyssey (1968),computer
599,2001: A Space Odyssey (1968),confusing ending
599,2001: A Space Odyssey (1968),cult film
599,2001: A Space Odyssey (1968),Dull
599,2001: A Space Odyssey (1968),future
599,2001: A Space Odyssey (1968),futuristic
599,2001: A Space Odyssey (1968),imdb top 250
599,2001: A Space Odyssey (1968),masterpiece
599,2001: A Space Odyssey (1968),meditative
599,2001: A Space Odyssey (1968),music
